"Statutaire naam";"Handelsnaam";"Plaats";"Land"
"BNP Paribas Easy Low Carbon 100 Europe UCITS ETF";"BNP Paribas Easy Low Carbon 100 Europe UCITS ETF";"PARIJS";"Frankrijk"
"BNP Paribas Flexi I SICAV";"BNP Paribas Flexi I SICAV";"Luxemburg";"Luxemburg"
"BNP Paribas Funds";"BNP Paribas Funds";"Luxemburg";"Luxemburg"
"BNP Paribas InstiCash";"BNP Paribas InstiCash";"Luxemburg";"Luxemburg"
"BNP Paribas Invest 3 Mois";"BNP Paribas Invest 3 Mois";"Parijs";"Frankrijk"
"BNP Paribas L Fix";"BNP Paribas L Fix";"HOWALD-HESPERANGE";"Luxemburg"
"BNP Paribas L1";"BNP Paribas L1";"Luxemburg";"Luxemburg"
"BNP Paribas Midcap France";"BNP Paribas Midcap France";"Parijs";"Frankrijk"
"BNP Paribas Mois ISR";"BNP Paribas Mois ISR";"Parijs";"Frankrijk"
"BNP PARIBAS MONEY 3M";"BNP PARIBAS MONEY 3M";"Parijs";"Frankrijk"
"BNP Paribas Obli ETAT";"BNP Paribas Obli ETAT";"PARIJS";"Frankrijk"
"BNP Paribas Plan SICAV";"BNP Paribas Plan SICAV";"Luxemburg";"Luxemburg"
"BNP Paribas Selection Dynamique PEA";"BNP Paribas Selection Dynamique PEA";"Parijs";"Frankrijk"
"BNY Mellon Fund Management (Luxembourg) S.A.";"BNY Mellon Fund Management (Luxembourg) S.A.";"Luxembourg";"Luxemburg"
"BNY Mellon Global Funds Plc";"BNY Mellon Global Funds Plc";"DUBLIN 4";"Ierland"
"BNY Mellon Investment Funds";"BNY Mellon Investment Funds";"LONDON";"Verenigd Koninkrijk"
"BOC (Europe) UCITS SICAV";"BOC (Europe) UCITS SICAV";"Luxemburg";"Luxemburg"
"Boussard & Gavaudan Sicav";"Boussard & Gavaudan Sicav";"LUXEMBURG";"Luxemburg"
"Brandes Investment Funds Plc";"Brandes Investment Funds Plc";"DUBLIN";"Ierland"
"Brandes Investment Partners (Europe) Limited";"Brandes Investment Partners (Europe) Limited";"Dublin 2";"Ierland"
"Brevan Howard Liquid Portfolio Strategies";"Brevan Howard Liquid Portfolio Strategies";"LUXEMBURG";"Luxemburg"
"Bright Pensions N.V.";"BrightPensioen, Bright Pensions N.V., BrightNL Pensioen, BrightNL";"Amsterdam";"Nederland"
"BrightSphere Global Funds";"BrightSphere Global Funds";"Luxemburg";"Luxemburg"
"Brookfield Investment Funds (UCITS) plc";"Brookfield Investment Funds (UCITS) plc";"DUBLIN 2";"Ierland"
"Brown Advisory Funds plc";"Brown Advisory Funds plc";"Dublin 1";"Ierland"
"Bryan Garnier Asset Management";"Bryan Garnier Asset Management";"PARIJS";"Frankrijk"
"Calamos Global Funds Plc";"Calamos Global Funds Plc";"DUBLIN 1";"Ierland"
"Candriam Belgium NV/SA";"Candriam Belgium NV/SA";"BRUSSEL";"België"
"Candriam Bonds";"Candriam Bonds";"Esch-sur-Alzette";"Luxemburg"
"Candriam Dynamix";"Candriam Dynamix";"Esch-sur-Alzette";"Luxemburg"
"Candriam Equities B";"Candriam Equities B";"BRUSSEL";"België"
"Candriam Equities L";"Candriam Equities L";"Esch-sur-Alzette";"Luxemburg"
"Candriam Fund";"Candriam Fund";"Strassen";"Luxemburg"
"Candriam GF";"Candriam GF";"LUXEMBURG";"Luxemburg"
"Candriam Index Arbitrage";"Candriam Index Arbitrage";"PARIJS";"Frankrijk"
"Candriam Life Bonds";"Candriam Life Bonds";"LUXEMBURG";"Luxemburg"
"Candriam Long Short Credit";"Candriam Long Short Credit";"PARIJS";"Frankrijk"
"Candriam Luxembourg";"Candriam Luxembourg";"Strassen";"Luxemburg"
"Candriam Money Market";"Candriam Money Market";"Esch-sur-Alzette";"Luxemburg"
"Candriam Multi-Strategies";"Candriam Multi-Strategies";"PARIJS";"Frankrijk"
"Candriam Quant SICAV";"Candriam Quant SICAV";"Esch-sur-Alzette";"Luxemburg"
"Candriam Risk Arbitrage";"Candriam Risk Arbitrage";"PARIJS";"Frankrijk"
"Candriam SRI";"Candriam SRI";"Porte de France";"Luxemburg"
"Candriam Sustainable";"Candriam Sustainable";"BRUSSEL";"België"
"Capertino SICAV";"Capertino SICAV";"Luxembourg";"Luxemburg"
"Capital Group Emerging Markets Growth Fund (LUX) ";"Capital Group Emerging Markets Growth Fund (LUX)";"SENNINGERBERG";"Luxemburg"
"Capital International Fund";"Capital International Fund, Capital International Fund";"Senningerberg";"Luxemburg"
"Capital International Management Company S.à.r.l.";"Capital International Management Company S.à.r.l.";"LUXEMBURG";"Luxemburg"
"Capital International Portfolios";"Capital International Portfolios";"SENNINGERBERG";"Luxemburg"
